scenario,rep,n_rff,pi_clip,method,estimand,true_value,posterior_mean,bias,abs_error,squared_error,ci_lower,ci_upper,ci_width,covered,posterior_sd
weak_heterogeneous,61,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.1718155417697023,0.17181554176970226,0.17181554176970226,0.029520580393616304,0.8429213506158855,1.4724393589701212,0.6295180083542358,1.0,0.16399356889733263
weak_heterogeneous,62,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.7755394804172902,-0.22446051958270985,0.22446051958270985,0.05038252485134007,0.45701687565763266,1.086295841512513,0.6292789658548803,1.0,0.16063438806140126
weak_heterogeneous,63,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.8740549501391777,-0.12594504986082233,0.12594504986082233,0.015862155584445023,0.5511641872205667,1.1852374941742094,0.6340733069536427,1.0,0.16027879301184067
weak_heterogeneous,64,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.8646377946661287,-0.13536220533387133,0.13536220533387133,0.018322926632849144,0.5610421881780853,1.1728011899087367,0.6117590017306515,1.0,0.15721584406923536
weak_heterogeneous,65,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.916445675728377,-0.08355432427162302,0.08355432427162302,0.006981325104487531,0.5798701843454904,1.2552578166865616,0.6753876323410711,1.0,0.17147876962786304
weak_heterogeneous,66,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9344327057127606,-0.0655672942872394,0.0655672942872394,0.004299070080149456,0.6285539726612688,1.246370903419974,0.6178169307587051,1.0,0.15912424281561846
weak_heterogeneous,67,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.8167579424102094,-0.18324205758979062,0.18324205758979062,0.03357765166974014,0.5143808037933238,1.1041288070823772,0.5897480032890533,1.0,0.15424941658194943
weak_heterogeneous,68,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9121593297938461,-0.08784067020615394,0.08784067020615394,0.0077159833422662995,0.5803212317767074,1.2260233487844243,0.645702117007717,1.0,0.16098711971296475
weak_heterogeneous,69,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.914712375621694,-0.08528762437830595,0.08528762437830595,0.007273978872095007,0.6241718169103413,1.209187582841244,0.5850157659309027,1.0,0.15188302426401165
weak_heterogeneous,70,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.7354861709786232,-0.26451382902137677,0.26451382902137677,0.06996756574355015,0.420121015664142,1.0490464217576583,0.6289254060935163,1.0,0.16148979183026319
weak_heterogeneous,71,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.0564473453740704,0.05644734537407037,0.05644734537407037,0.0031863027997795835,0.7214959401739286,1.412188730392391,0.6906927902184624,1.0,0.17512908702315688
weak_heterogeneous,72,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.2573228251155593,0.25732282511555926,0.25732282511555926,0.0662150363254527,0.9399287177205013,1.5962309116087061,0.6563021938882048,1.0,0.16261838255346706
weak_heterogeneous,73,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.0476463008904593,0.04764630089045929,0.04764630089045929,0.002270169988544182,0.717167646698817,1.3655906732681669,0.6484230265693498,1.0,0.16608730228736018
weak_heterogeneous,74,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.02706349849029,0.027063498490289994,0.027063498490289994,0.0007324329505339288,0.7368154345807295,1.3210948913079268,0.5842794567271973,1.0,0.14919015277594655
weak_heterogeneous,75,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.8896497597915343,-0.11035024020846573,0.11035024020846573,0.012177175514066087,0.598796196609412,1.1810232146228898,0.5822270180134779,1.0,0.14897832660676302
weak_heterogeneous,76,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9071955454941621,-0.09280445450583785,0.09280445450583785,0.008612666776126128,0.6093131046462615,1.2041514502846546,0.5948383456383931,1.0,0.15083419116204355
weak_heterogeneous,77,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.996028917387813,-0.003971082612187038,0.003971082612187038,1.5769497112814228e-05,0.6874332019098477,1.2986587881768463,0.6112255862669986,1.0,0.1573657473154201
weak_heterogeneous,78,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9871277132203576,-0.012872286779642361,0.012872286779642361,0.00016569576693735552,0.6727723529926197,1.3056836010893793,0.6329112480967596,1.0,0.16501903722847538
weak_heterogeneous,79,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.0451586930854386,0.04515869308543863,0.04515869308543863,0.0020393075611848427,0.7070893180311714,1.3767223956407035,0.6696330776095322,1.0,0.16531266449505921
weak_heterogeneous,80,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.6502367374245723,-0.34976326257542767,0.34976326257542767,0.12233433984740756,0.30572170583947145,0.9975165627506274,0.6917948569111559,0.0,0.17683093837077543
weak_heterogeneous,81,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.1392387433897215,0.13923874338972153,0.13923874338972153,0.019387427660748722,0.8249909621855194,1.4573733853559994,0.63238242317048,1.0,0.16462141956035983
weak_heterogeneous,82,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9035180428504381,-0.09648195714956187,0.09648195714956187,0.009308768055409892,0.5783063054374109,1.2152187511183272,0.6369124456809163,1.0,0.15926271081429857
weak_heterogeneous,83,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.078492094467703,0.078492094467703,0.078492094467703,0.006161008893926812,0.7660867735416936,1.3984497305718244,0.6323629570301308,1.0,0.16011100193127642
weak_heterogeneous,84,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.6217609633838901,-0.3782390366161099,0.3782390366161099,0.14306476882028293,0.3179003327117766,0.9253491310403763,0.6074487983285997,0.0,0.16103657865645285
weak_heterogeneous,85,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.8515681232013219,-0.1484318767986781,0.1484318767986781,0.02203202204997795,0.5622580084644475,1.1235254547862834,0.5612674463218359,1.0,0.14900954945314965
weak_heterogeneous,86,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.1455172777248739,0.14551727772487388,0.14551727772487388,0.021175278116458078,0.8071053082519701,1.4740109649822188,0.6669056567302487,1.0,0.16621650976383087
weak_heterogeneous,87,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.8049765673266517,-0.19502343267334832,0.19502343267334832,0.03803413929169602,0.48561461358152097,1.1169830769042062,0.6313684633226853,1.0,0.16010452720257976
weak_heterogeneous,88,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.1217617058469418,0.12176170584694179,0.12176170584694179,0.01482591301075718,0.7876859738693225,1.4401433869029474,0.6524574130336249,1.0,0.16897045846309416
weak_heterogeneous,89,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9316855834982598,-0.0683144165017402,0.0683144165017402,0.004666859501973233,0.6395414305267582,1.2240110301286562,0.584469599601898,1.0,0.15264555201055277
weak_heterogeneous,90,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9699548778977644,-0.030045122102235644,0.030045122102235644,0.0009027093621382488,0.6481779467441139,1.2927287353052372,0.6445507885611234,1.0,0.16394890861880126
weak_heterogeneous,91,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.027128294312076,0.027128294312076084,0.027128294312076084,0.0007359443522826196,0.7187273993284161,1.3364766394982135,0.6177492401697974,1.0,0.16107359539909397
weak_heterogeneous,92,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.0958242447961593,0.09582424479615925,0.09582424479615925,0.009182285890754253,0.7761601186655139,1.4237140038690328,0.6475538852035189,1.0,0.16443504694439764
weak_heterogeneous,93,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.8233007277695095,-0.17669927223049053,0.17669927223049053,0.031222632806785004,0.5097536651413056,1.1410533013637247,0.6312996362224191,1.0,0.1614554796760807
weak_heterogeneous,94,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.8314383292687539,-0.16856167073124606,0.16856167073124606,0.028413036839709013,0.5074899940752068,1.1699617687231878,0.662471774647981,1.0,0.17036036166028878
weak_heterogeneous,95,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9091644407133028,-0.09083555928669718,0.09083555928669718,0.008251098830927077,0.6096687483551662,1.218130536841487,0.6084617884863208,1.0,0.15399523895539163
weak_heterogeneous,96,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9411204714661663,-0.058879528533833714,0.058879528533833714,0.0034667988803665385,0.6303706060415373,1.2455545968411978,0.6151839907996606,1.0,0.15546820142002987
weak_heterogeneous,97,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.7570091791176137,-0.24299082088238633,0.24299082088238633,0.05904453903309596,0.440509386508949,1.0696057717777334,0.6290963852687844,1.0,0.1595504241894785
